Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
07/17/2013,$15.3682,198949776,$15.3464,$15.4364,$15.2936,15.3682, 15.4364, 15.3464
07/16/2013,$15.3641,216114246,$15.2329,$15.3825,$15.1489,15.3641, 15.3825, 15.2329
07/15/2013,$15.2657,241895795,$15.1789,$15.4093,$15.1714,15.2657, 15.4093, 15.1789
7/12/2013,$15.2325,279455540,$15.2732,$15.3496,$15.1218,15.2325, 15.3496, 15.2732
7/11/2013,$15.2603,326268469,$15.1054,$15.2946,$15.0418,15.2603, 15.2946, 15.1054
7/10/2013,$15.0261,280256368,$14.9857,$15.1714,$14.9375,15.0261, 15.1714, 14.9857
7/9/2013,$15.0839,352541979,$14.7714,$15.125,$14.6564,15.0839, 15.125, 14.7714
7/8/2013,$14.8232,297904481,$15.0039,$15.0357,$14.6661,14.8232, 15.0357, 15.0039
7/5/2013,$14.9079,273930610,$15.0139,$15.1175,$14.8339,14.9079, 15.1175, 15.0139
7/3/2013,$15.0286,240928536,$15.0307,$15.1064,$14.9089,15.0286, 15.1064, 15.0307
7/2/2013,$14.9461,469710452,$14.6414,$15.0582,$14.6239,14.9461, 15.0582, 14.6414
7/1/2013,$14.615,390944804,$14.3818,$14.7239,$14.3293,14.615, 14.7239, 14.3818
06/28/2013,$14.1618,578339209,$13.9771,$14.2954,$13.8882,14.1618, 14.2954, 13.9771
06/27/2013,$14.0636,336950745,$14.2589,$14.3354,$14.055,14.0636, 14.3354, 14.2589
06/26/2013,$14.2168,367647133,$14.425,$14.4568,$14.1307,14.2168, 14.4568, 14.425
06/25/2013,$14.3796,314132994,$14.4893,$14.5639,$14.2439,14.3796, 14.5639, 14.4893
06/24/2013,$14.3764,480187768,$14.55,$14.595,$14.2161,14.3764, 14.595, 14.55
06/21/2013,$14.7679,480849968,$14.9461,$15,$14.575,14.7679, 15, 14.9461
06/20/2013,$14.8871,357285177,$14.975,$15.2136,$14.8275,14.8871, 15.2136, 14.975
06/19/2013,$15.1071,310763756,$15.4071,$15.4164,$15.1071,15.1071, 15.4164, 15.4071
06/18/2013,$15.4204,193501175,$15.4129,$15.5321,$15.3646,15.4204, 15.5321, 15.4129
06/17/2013,$15.4286,259138076,$15.4086,$15.5607,$15.3701,15.4286, 15.5607, 15.4086
06/14/2013,$15.3589,271821007,$15.55,$15.5818,$15.3036,15.3589, 15.5818, 15.55
06/13/2013,$15.5702,285795886,$15.4464,$15.6121,$15.3125,15.5702, 15.6121, 15.4464
6/12/2013,$15.4354,265082082,$15.6964,$15.7589,$15.4107,15.4354, 15.7589, 15.6964
6/11/2013,$15.6286,286062726,$15.5621,$15.8129,$15.4757,15.6286, 15.8129, 15.5621
6/10/2013,$15.6746,449957580,$15.8832,$16.0385,$15.6,15.6746, 16.0385, 15.8832
6/7/2013,$15.779,404327678,$15.5893,$15.83,$15.4561,15.779, 15.83, 15.5893
6/6/2013,$15.6593,416669513,$15.9096,$15.9643,$15.5018,15.6593, 15.9643, 15.9096
6/5/2013,$15.8968,290097524,$15.9161,$16.0971,$15.8468,15.8968, 16.0971, 15.9161
6/4/2013,$16.0468,290301084,$16.1864,$16.2296,$15.9782,16.0468, 16.2296, 16.1864
6/3/2013,$16.0971,371602131,$16.0975,$16.1557,$15.8029,16.0971, 16.1557, 16.0975
05/31/2013,$16.062,382752007,$16.1607,$16.325,$16.0536,16.062, 16.325, 16.1607
05/30/2013,$16.1279,353419499,$15.9161,$16.2321,$15.8754,16.1279, 16.2321, 15.9161
05/29/2013,$15.8911,330212828,$15.7143,$15.9821,$15.6929,15.8911, 15.9821, 15.7143
05/28/2013,$15.7657,385245966,$16.0679,$16.1111,$15.7446,15.7657, 16.1111, 16.0679
05/24/2013,$15.8982,276035930,$15.7446,$15.9164,$15.7271,15.8982, 15.9164, 15.7446
05/23/2013,$15.7907,352959179,$15.5696,$15.9343,$15.5639,15.7907, 15.9343, 15.5696
05/22/2013,$15.7626,442730783,$15.8589,$16.0125,$15.6507,15.7626, 16.0125, 15.8589
05/21/2013,$15.7021,455670978,$15.6482,$15.91,$15.5071,15.7021, 15.91, 15.6482
05/20/2013,$15.8189,450118020,$15.4254,$15.9214,$15.3607,15.8189, 15.9214, 15.4254
05/17/2013,$15.4736,427864749,$15.6804,$15.7175,$15.3932,15.4736, 15.7175, 15.6804
05/16/2013,$15.5206,602950359,$15.1157,$15.6375,$14.9607,15.5206, 15.6375, 15.1157
05/15/2013,$15.3161,740675304,$15.6843,$15.75,$15.0843,15.3161, 15.75, 15.6843
05/14/2013,$15.8521,446469341,$16.2089,$16.2571,$15.7911,15.8521, 16.2571, 16.2089
05/13/2013,$16.2407,316864673,$16.1254,$16.3536,$16.125,16.2407, 16.3536, 16.1254
5/10/2013,$16.1775,334460986,$16.3561,$16.4182,$16.0886,16.1775, 16.4182, 16.3561
5/9/2013,$16.3132,397792761,$16.4218,$16.5357,$16.2707,16.3132, 16.5357, 16.4218
5/8/2013,$16.5657,471911251,$16.3943,$16.6204,$16.2789,16.5657, 16.6204, 16.3943
5/7/2013,$16.3806,481870287,$16.6061,$16.6339,$16.2036,16.3806, 16.6339, 16.6061
5/6/2013,$16.4539,495917322,$16.2754,$16.5071,$16.2254,16.4539, 16.5071, 16.2754
5/3/2013,$16.0707,361150296,$16.1182,$16.1868,$16.0411,16.0707, 16.1868, 16.1182
5/2/2013,$15.9114,421637831,$15.7779,$16.0211,$15.7368,15.9114, 16.0211, 15.7779
5/1/2013,$15.6889,506777397,$15.8736,$15.8904,$15.5139,15.6889, 15.8904, 15.8736
04/30/2013,$15.8136,690796964,$15.5393,$15.9018,$15.4311,15.8136, 15.9018, 15.5393
04/29/2013,$15.3614,639715744,$15.0161,$15.4863,$15,15.3614, 15.4863, 15.0161
04/26/2013,$14.9002,763910534,$14.6361,$14.956,$14.5804,14.9002, 14.956, 14.6361
04/25/2013,$14.585,383835326,$14.6866,$14.7836,$14.5357,14.585, 14.7836, 14.6866
04/24/2013,$14.4808,969409452,$14.055,$14.8304,$14.0179,14.4808, 14.8304, 14.055
04/23/2013,$14.5046,601968679,$14.4282,$14.585,$14.2432,14.5046, 14.585, 14.4282
04/22/2013,$14.2382,428903828,$14.0229,$14.3643,$13.9741,14.2382, 14.3643, 14.0229
04/19/2013,$13.9475,608528237,$13.8561,$14.2714,$13.7536,13.9475, 14.2714, 13.8561
04/18/2013,$14.0018,665659414,$14.4639,$14.4925,$13.9194,14.0018, 14.4925, 14.4639
04/17/2013,$14.3857,944375782,$15.0096,$15.0214,$14.2182,14.3857, 15.0214, 15.0096
04/16/2013,$15.2229,304812358,$15.0561,$15.2361,$15.0204,15.2229, 15.2361, 15.0561
04/15/2013,$14.9946,316404633,$15.25,$15.2818,$14.9839,14.9946, 15.2818, 15.25
4/12/2013,$15.35,238536637,$15.5054,$15.5054,$15.3246,15.35, 15.5054, 15.5054
4/11/2013,$15.5118,328257029,$15.49,$15.6425,$15.4,15.5118, 15.6425, 15.49
4/10/2013,$15.5604,375532770,$15.2893,$15.6093,$15.2146,15.5604, 15.6093, 15.2893
4/9/2013,$15.2493,306383437,$15.2271,$15.3036,$15.0982,15.2493, 15.3036, 15.2271
4/8/2013,$15.2218,300583240,$15.1732,$15.2679,$15.0889,15.2218, 15.2679, 15.1732
4/5/2013,$15.1143,382897607,$15.1607,$15.1768,$14.9886,15.1143, 15.1768, 15.1607
4/4/2013,$15.2757,358299057,$15.4914,$15.5357,$15.1875,15.2757, 15.5357, 15.4914
4/3/2013,$15.4282,362203095,$15.4061,$15.6171,$15.3682,15.4282, 15.6171, 15.4061
4/2/2013,$15.3497,529021428,$15.2714,$15.6479,$15.2286,15.3497, 15.6479, 15.2714
4/1/2013,$15.3182,388672325,$15.7821,$15.8464,$15.2764,15.3182, 15.8464, 15.7821
03/28/2013,$15.8093,442473463,$16.065,$16.1364,$15.7721,15.8093, 16.1364, 16.065
03/27/2013,$16.1457,327091669,$16.3021,$16.3143,$16.0975,16.1457, 16.3143, 16.3021
03/26/2013,$16.4691,293563363,$16.6229,$16.6371,$16.4475,16.4691, 16.6371, 16.6229
03/25/2013,$16.5564,499920480,$16.5961,$16.7839,$16.4921,16.5564, 16.7839, 16.5961
03/22/2013,$16.4968,393044243,$16.235,$16.5036,$16.1825,16.4968, 16.5036, 16.235
03/21/2013,$16.1689,381937487,$16.0793,$16.3564,$16.075,16.1689, 16.3564, 16.0793
03/20/2013,$16.1457,307921197,$16.3364,$16.3439,$16.0568,16.1457, 16.3439, 16.3364
03/19/2013,$16.2318,525875350,$16.4107,$16.4632,$16.0179,16.2318, 16.4632, 16.4107
03/18/2013,$16.2757,599844320,$15.7661,$16.3379,$15.7571,16.2757, 16.3379, 15.7661
03/15/2013,$15.845,642349423,$15.6404,$15.8654,$15.6161,15.845, 15.8654, 15.6404
03/14/2013,$15.4464,303205719,$15.4582,$15.5229,$15.3732,15.4464, 15.5229, 15.4582
